wid,predicted_category
451,bonding
1409,affection
492,affection
2012,enjoy_the_moment
5196,affection
2554,affection
5458,affection
2520,bonding
3101,affection
3842,bonding
11676,affection
2218,affection
10599,affection
4520,achievement
67,nature
9317,affection
296,achievement
437,leisure
5430,affection
731,enjoy_the_moment
953,affection
3105,affection
670,affection
4528,affection
1118,affection
2940,exercise
3549,affection
200,achievement
1888,achievement
1541,bonding
3161,achievement
746,bonding
7268,affection
6089,affection
655,achievement
520,leisure
5379,nature
6112,achievement
10924,affection
9148,achievement
1182,exercise
1407,bonding
18,leisure
1360,leisure
4631,affection
945,affection
10261,enjoy_the_moment
1150,enjoy_the_moment
541,enjoy_the_moment
2551,affection
12883,achievement
3017,achievement
1918,bonding
105,enjoy_the_moment
13255,achievement
6611,nature
11514,affection
1793,affection
4314,affection
447,affection
829,achievement
5900,affection
11055,enjoy_the_moment
409,affection
12311,achievement
10720,affection
683,affection
2448,enjoy_the_moment
839,achievement
13197,bonding
165,achievement
998,achievement
133,leisure
381,affection
1640,enjoy_the_moment
384,achievement
285,enjoy_the_moment
209,achievement
1071,enjoy_the_moment
1449,achievement
550,bonding
1464,enjoy_the_moment
433,bonding
179,leisure
169,bonding
2131,affection
2580,affection
2871,affection
836,enjoy_the_moment
48,nature
3764,affection
3194,achievement
291,achievement
2336,achievement
9678,affection
1853,affection
1338,bonding
9719,enjoy_the_moment
2587,affection
833,leisure
3923,enjoy_the_moment
7262,nature
4943,affection
134,affection
1277,leisure
3568,affection
887,enjoy_the_moment
9373,achievement
162,bonding
2889,enjoy_the_moment
2188,affection
12899,affection
2341,achievement
3913,enjoy_the_moment
28,achievement
1371,enjoy_the_moment
2449,affection
1325,affection
8294,bonding
7231,bonding
5756,achievement
1788,bonding
585,affection
768,affection
1604,bonding
1211,achievement
277,achievement
385,bonding
2149,bonding
2695,achievement
1995,bonding
72,achievement
897,affection
1733,leisure
2175,affection
393,affection
1489,achievement
533,nature
11425,affection
10019,affection
84,enjoy_the_moment
1226,bonding
2147,affection
3696,achievement
6464,affection
1901,enjoy_the_moment
4783,affection
401,leisure
1266,affection
2485,enjoy_the_moment
5357,enjoy_the_moment
523,achievement
59,leisure
5,enjoy_the_moment
453,achievement
1102,achievement
1699,affection
331,bonding
432,leisure
8022,affection
87,leisure
478,enjoy_the_moment
279,affection
140,affection
11809,affection
395,affection
3070,affection
7852,affection
109,affection
2858,bonding
295,achievement
6666,achievement
1999,bonding
978,affection
12643,nature
3534,affection
10185,affection
671,affection
1146,affection
10155,achievement
5888,affection
1158,leisure
8315,leisure
1843,achievement
1638,bonding
1715,enjoy_the_moment
1018,exercise
1120,bonding
7000,nature
9983,achievement
7399,affection
2225,affection
8129,affection
5231,nature
240,nature
8985,exercise
10091,achievement
2291,enjoy_the_moment
12033,enjoy_the_moment
10929,affection
5104,affection
5330,bonding
343,affection
13543,affection
373,bonding
389,achievement
1296,bonding
1015,affection
383,bonding
2806,achievement
145,affection
8639,nature
6871,nature
8701,affection
2208,enjoy_the_moment
10886,nature
3073,affection
766,affection
755,enjoy_the_moment
987,achievement
5128,achievement
120,achievement
131,achievement
619,achievement
1201,achievement
563,leisure
1017,achievement
6191,bonding
12990,affection
3388,affection
1944,enjoy_the_moment
1514,affection
1029,affection
9638,nature
1106,bonding
7181,affection
113,achievement
3212,affection
3083,nature
607,enjoy_the_moment
2169,achievement
3077,enjoy_the_moment
351,affection
1607,leisure
3014,affection
129,enjoy_the_moment
247,leisure
4,achievement
9584,affection
1305,affection
123,affection
2445,achievement
5063,affection
2096,leisure
1437,enjoy_the_moment
82,achievement
3133,nature
12932,affection
443,affection
208,achievement
1354,enjoy_the_moment
1713,achievement
837,affection
1742,affection
31,leisure
1668,affection
788,enjoy_the_moment
9725,achievement
11685,achievement
5239,bonding
10105,leisure
143,achievement
458,nature
11,enjoy_the_moment
1480,nature
1466,bonding
2076,nature
991,achievement
237,affection
834,achievement
11334,affection
13274,enjoy_the_moment
3217,bonding
3840,affection
13124,affection
452,bonding
46,achievement
1473,affection
8342,affection
8152,affection
7259,affection
13307,affection
37,enjoy_the_moment
372,achievement
1507,affection
2159,enjoy_the_moment
176,achievement
11206,enjoy_the_moment
11362,affection
10100,affection
139,enjoy_the_moment
374,enjoy_the_moment
6479,leisure
252,achievement
873,leisure
1273,affection
1551,leisure
203,affection
10112,bonding
2151,leisure
1679,exercise
2993,achievement
15,achievement
1104,affection
201,enjoy_the_moment
1424,affection
9010,bonding
303,enjoy_the_moment
1012,enjoy_the_moment
63,achievement
309,achievement
851,enjoy_the_moment
7313,achievement
584,enjoy_the_moment
4814,achievement
225,enjoy_the_moment
4572,achievement
783,achievement
6602,affection
551,achievement
245,affection
4130,leisure
211,achievement
189,affection
2793,affection
6879,affection
12784,affection
271,enjoy_the_moment
213,affection
340,leisure
6738,enjoy_the_moment
114,affection
742,affection
34,bonding
2645,bonding
7849,affection
10294,exercise
8621,affection
126,leisure
948,enjoy_the_moment
86,achievement
944,achievement
1790,affection
10693,enjoy_the_moment
10515,leisure
1165,affection
2787,affection
430,achievement
1936,affection
11035,achievement
1330,affection
1086,achievement
7354,achievement
6209,enjoy_the_moment
13411,achievement
40,affection
7909,leisure
54,achievement
36,enjoy_the_moment
13095,achievement
264,achievement
1520,affection
128,enjoy_the_moment
6965,leisure
6456,affection
287,affection
3657,achievement
1574,enjoy_the_moment
9198,leisure
98,affection
9095,affection
2634,achievement
10,achievement
1382,affection
1027,affection
1135,bonding
11817,achievement
2935,achievement
1054,bonding
302,achievement
7282,affection
6517,enjoy_the_moment
187,achievement
2751,affection
10989,affection
8,achievement
2899,achievement
3669,achievement
3735,achievement
4262,enjoy_the_moment
10658,affection
13444,bonding
489,affection
159,achievement
104,enjoy_the_moment
448,affection
6,achievement
1074,enjoy_the_moment
11945,affection
7799,enjoy_the_moment
2240,affection
9578,achievement
596,affection
696,enjoy_the_moment
7979,achievement
11581,enjoy_the_moment
11673,affection
1426,affection
23,affection
29,achievement
2036,affection
9236,achievement
1965,achievement
13394,affection
10046,achievement
5393,achievement
658,affection
611,leisure
218,leisure
514,nature
573,achievement
711,affection
4295,achievement
3622,leisure
925,achievement
1174,enjoy_the_moment
11839,achievement
5738,bonding
608,affection
47,achievement
12422,affection
11878,affection
4534,affection
11549,bonding
2953,affection
12739,affection
166,affection
2073,enjoy_the_moment
184,achievement
521,affection
6620,achievement
1005,achievement
219,affection
906,achievement
9353,achievement
5536,enjoy_the_moment
325,achievement
1939,achievement
656,affection
595,affection
982,achievement
2339,affection
60,leisure
6208,affection
672,affection
10839,achievement
1625,achievement
13497,affection
13628,exercise
319,affection
626,enjoy_the_moment
5767,affection
908,enjoy_the_moment
2319,enjoy_the_moment
90,enjoy_the_moment
699,bonding
665,affection
640,affection
288,bonding
5650,affection
1634,enjoy_the_moment
1444,enjoy_the_moment
163,affection
6668,leisure
895,achievement
9071,affection
1968,enjoy_the_moment
5258,affection
1867,affection
3505,achievement
1934,affection
115,achievement
3374,affection
380,achievement
10606,affection
1981,affection
10339,bonding
1397,achievement
5259,affection
1128,achievement
152,affection
3276,achievement
227,bonding
772,affection
4711,leisure
12336,achievement
7668,affection
1047,affection
3312,achievement
2911,affection
250,enjoy_the_moment
2769,achievement
10798,affection
2813,affection
779,leisure
1497,affection
8394,achievement
11666,achievement
1866,affection
33,enjoy_the_moment
6076,achievement
2220,bonding
2091,affection
228,bonding
3908,affection
918,achievement
3995,affection
10253,leisure
196,affection
156,achievement
786,enjoy_the_moment
52,affection
6041,achievement
2286,affection
11180,bonding
2198,achievement
53,enjoy_the_moment
481,achievement
74,enjoy_the_moment
110,affection
2539,affection
10510,affection
25,affection
1769,achievement
544,leisure
4633,exercise
283,affection
1720,bonding
93,affection
3034,affection
1731,affection
1872,affection
3140,exercise
261,affection
726,leisure
11646,enjoy_the_moment
85,affection
69,affection
1794,leisure
269,achievement
12292,achievement
70,enjoy_the_moment
132,enjoy_the_moment
24,bonding
76,leisure
643,bonding
4781,achievement
2,affection
96,enjoy_the_moment
136,enjoy_the_moment
10584,achievement
10630,achievement
4233,achievement
2128,bonding
119,affection
880,bonding
844,achievement
761,affection
842,bonding
9075,achievement
3419,affection
61,enjoy_the_moment
50,bonding
6732,bonding
215,enjoy_the_moment
2783,enjoy_the_moment
1113,leisure
182,leisure
191,leisure
8221,affection
216,leisure
763,achievement
376,achievement
222,exercise
155,leisure
172,leisure
116,exercise
1187,achievement
192,leisure
864,achievement
164,leisure
6102,affection
2530,leisure
341,affection
101,achievement
2512,enjoy_the_moment
5352,affection
221,achievement
14,affection
1391,achievement
4648,enjoy_the_moment
527,affection
4684,affection
1547,affection
5365,affection
2328,achievement
13608,achievement
9625,affection
12,achievement
27,achievement
19,achievement
173,affection
12077,affection
10840,achievement
62,bonding
13638,affection
962,achievement
641,leisure
78,affection
1010,bonding
932,leisure
1985,affection
1,affection
1351,affection
2349,bonding
259,leisure
654,leisure
45,affection
3181,achievement
7692,nature
68,achievement
2978,affection
981,affection
1813,bonding
49,enjoy_the_moment
7,affection
347,affection
377,leisure
653,bonding
591,bonding
421,bonding
3095,affection
553,affection
51,bonding
475,bonding
926,enjoy_the_moment
559,achievement
1671,achievement
7758,achievement
1688,achievement
905,bonding
466,achievement
1543,achievement
10789,achievement
464,affection
1306,enjoy_the_moment
255,affection
1199,achievement
7816,achievement
1244,achievement
1057,achievement
4541,achievement
418,leisure
2029,bonding
1094,leisure
6359,achievement
632,achievement
5314,affection
106,achievement
1317,bonding
5032,affection
2326,achievement
2059,affection
570,achievement
41,achievement
1453,bonding
2493,affection
1768,enjoy_the_moment
183,affection
7695,enjoy_the_moment
81,leisure
349,achievement
1215,affection
542,affection
301,affection
2565,affection
2392,achievement
4397,bonding
4952,affection
39,affection
3942,achievement
2464,exercise
603,affection
3580,achievement
2936,enjoy_the_moment
188,bonding
977,affection
5040,enjoy_the_moment
13555,affection
369,leisure
238,affection
3260,affection
94,leisure
1037,achievement
1021,enjoy_the_moment
1493,exercise
990,leisure
5521,enjoy_the_moment
2164,bonding
646,bonding
959,achievement
6700,affection
472,affection
244,achievement
97,affection
1121,affection
902,affection
1623,affection
4477,affection
1177,achievement
273,bonding
878,affection
1208,affection
2855,achievement
122,enjoy_the_moment
5640,bonding
9412,affection
150,affection
3577,affection
1503,leisure
518,achievement
1445,affection
1098,affection
422,exercise
4690,affection
2501,affection
1415,bonding
345,affection
3249,affection
2567,affection
13670,achievement
1033,affection
574,enjoy_the_moment
3271,achievement
1502,affection
6136,affection
2474,achievement
12021,affection
2413,affection
11216,achievement
2238,affection
599,achievement
3820,enjoy_the_moment
10449,affection
2685,affection
628,affection
1538,achievement
12445,leisure
1117,bonding
976,affection
2146,affection
2576,affection
9,nature
6183,achievement
12949,affection
4190,bonding
543,achievement
575,achievement
4878,enjoy_the_moment
2950,affection
1816,affection
318,achievement
2741,achievement
2775,bonding
403,affection
1349,bonding
137,enjoy_the_moment
598,achievement
2358,enjoy_the_moment
1405,achievement
5264,nature
9585,achievement
9695,enjoy_the_moment
1229,affection
1695,affection
2069,bonding
64,affection
298,affection
1172,leisure
220,affection
130,achievement
9681,achievement
3472,achievement
100,achievement
177,bonding
3266,affection
181,affection
3613,affection
2058,affection
1313,leisure
4979,achievement
986,enjoy_the_moment
1093,affection
7280,affection
4158,affection
147,bonding
663,leisure
9074,enjoy_the_moment
1088,affection
102,enjoy_the_moment
526,enjoy_the_moment
178,achievement
408,bonding
2065,leisure
3230,achievement
419,bonding
58,enjoy_the_moment
13430,enjoy_the_moment
404,exercise
1404,affection
3766,bonding
808,achievement
1060,achievement
508,affection
984,achievement
12666,bonding
10739,affection
7846,affection
141,achievement
2856,achievement
10298,affection
1649,affection
8330,enjoy_the_moment
1363,achievement
10780,achievement
2134,bonding
3818,leisure
414,affection
10078,bonding
604,affection
4596,achievement
1075,affection
2008,affection
108,enjoy_the_moment
217,enjoy_the_moment
77,achievement
1115,achievement
13103,enjoy_the_moment
241,affection
1492,affection
2903,nature
3938,achievement
6696,leisure
1632,affection
473,achievement
892,affection
4588,affection
5882,achievement
423,achievement
231,affection
66,bonding
197,achievement
210,achievement
1355,affection
230,achievement
17,bonding
8400,affection
5035,enjoy_the_moment
160,affection
3348,bonding
99,enjoy_the_moment
8078,enjoy_the_moment
22,enjoy_the_moment
121,achievement
415,affection
5376,enjoy_the_moment
1304,achievement
3576,affection
5436,bonding
30,affection
12633,affection
853,bonding
2382,affection
258,affection
185,leisure
92,affection
5681,achievement
1760,achievement
477,enjoy_the_moment
290,affection
1775,bonding
12036,exercise
673,achievement
382,enjoy_the_moment
870,exercise
1996,enjoy_the_moment
1069,achievement
5567,affection
9895,achievement
232,affection
1544,affection
625,affection
3616,leisure
8070,bonding
10544,affection
3160,achievement
778,affection
1656,achievement
1696,affection
274,nature
265,achievement
4679,affection
379,achievement
13326,nature
13011,achievement
1285,achievement
1870,affection
1390,leisure
5499,bonding
2227,achievement
8886,affection
9076,affection
1748,bonding
267,leisure
1611,affection
194,achievement
4081,affection
3817,enjoy_the_moment
7067,enjoy_the_moment
1359,enjoy_the_moment
148,achievement
717,achievement
865,affection
4029,leisure
88,affection
390,bonding
190,achievement
8228,achievement
13111,affection
276,affection
91,affection
1484,achievement
3048,achievement
5917,affection
8506,affection
12924,achievement
2880,achievement
630,affection
1141,enjoy_the_moment
428,affection
10883,affection
803,achievement
1452,affection
862,enjoy_the_moment
2098,achievement
916,exercise
592,enjoy_the_moment
1223,leisure
1034,achievement
7450,affection
83,leisure
11169,leisure
20,leisure
474,affection
3663,affection
135,enjoy_the_moment
1109,achievement
2508,affection
5315,affection
4963,bonding
11386,achievement
174,affection
992,achievement
12618,achievement
1019,enjoy_the_moment
1091,enjoy_the_moment
4394,affection
13636,enjoy_the_moment
1238,affection
207,affection
1003,leisure
3030,achievement
387,affection
336,enjoy_the_moment
451,bonding
1409,achievement
492,achievement
2012,affection
5196,affection
2554,affection
5458,enjoy_the_moment
2520,affection
3101,bonding
3842,enjoy_the_moment
11676,achievement
2218,nature
10599,affection
4520,achievement
67,affection
9317,affection
296,bonding
437,achievement
5430,leisure
731,enjoy_the_moment
953,achievement
8015,leisure
3105,affection
670,affection
4528,affection
1118,achievement
2940,achievement
3549,affection
200,achievement
1888,affection
1541,affection
3161,exercise
746,enjoy_the_moment
7268,leisure
6089,affection
655,affection
520,affection
5379,affection
6112,affection
10924,affection
9148,achievement
1182,affection
1407,leisure
18,affection
1360,bonding
4631,achievement
945,affection
10261,affection
1150,enjoy_the_moment
541,affection
2551,affection
12883,bonding
3017,affection
1918,affection
105,leisure
13255,affection
6611,achievement
11514,affection
1793,leisure
4314,leisure
447,achievement
829,enjoy_the_moment
5900,leisure
11055,leisure
409,bonding
12311,affection
10720,leisure
683,affection
2448,achievement
839,bonding
13197,leisure
165,nature
998,bonding
133,achievement
381,bonding
1640,achievement
384,affection
285,achievement
209,bonding
1071,affection
1449,enjoy_the_moment
550,enjoy_the_moment
1464,bonding
433,bonding
179,exercise
169,affection
2131,achievement
2580,achievement
2871,affection
836,affection
48,affection
3764,affection
3194,affection
291,leisure
2336,bonding
9678,nature
1853,nature
1338,nature
9719,affection
2587,leisure
833,leisure
3923,bonding
7262,affection
4943,affection
134,affection
1277,affection
3568,affection
887,achievement
9373,affection
162,achievement
2889,enjoy_the_moment
2188,bonding
12899,achievement
2341,bonding
3913,enjoy_the_moment
28,leisure
1371,achievement
2449,achievement
1325,affection
8294,enjoy_the_moment
7231,achievement
5756,achievement
1788,leisure
585,achievement
768,achievement
1604,achievement
1211,achievement
277,bonding
385,bonding
2149,affection
2695,affection
1995,bonding
72,enjoy_the_moment
897,achievement
1733,bonding
2175,affection
393,enjoy_the_moment
1489,achievement
533,achievement
11425,affection
10019,affection
84,affection
1226,exercise
2147,affection
3696,achievement
6464,leisure
1901,leisure
4783,affection
401,exercise
1266,affection
2485,exercise
5357,achievement
523,enjoy_the_moment
59,leisure
5,affection
453,affection
1102,affection
1699,affection
331,enjoy_the_moment
432,achievement
8022,bonding
87,affection
478,affection
279,achievement
140,affection
11809,achievement
395,leisure
3070,bonding
7852,bonding
109,affection
2858,affection
295,leisure
6666,achievement
1999,enjoy_the_moment
978,achievement
12643,affection
3534,bonding
10185,affection
671,affection
1146,enjoy_the_moment
10155,affection
5888,achievement
1158,leisure
8315,achievement
1843,enjoy_the_moment
1638,bonding
1715,nature
1018,leisure
1120,enjoy_the_moment
7000,affection
9983,achievement
7399,affection
2225,affection
8129,affection
5231,achievement
240,leisure
8985,bonding
10091,affection
2291,achievement
12033,achievement
10929,affection
5104,affection
5330,nature
343,affection
13543,affection
373,achievement
389,leisure
1296,achievement
1015,affection
383,affection
2806,achievement
145,enjoy_the_moment
8639,affection
6871,affection
8701,nature
2208,affection
10886,enjoy_the_moment
3073,nature
766,affection
755,achievement
987,achievement
5128,affection
120,achievement
131,achievement
619,leisure
1201,enjoy_the_moment
563,achievement
1017,achievement
6191,leisure
12990,affection
3388,affection
1944,affection
1514,achievement
1029,bonding
9638,achievement
1106,achievement
7181,affection
113,achievement
3212,affection
3083,achievement
607,affection
2169,affection
3077,leisure
351,bonding
1607,bonding
3014,affection
129,leisure
247,achievement
4,affection
9584,nature
123,affection
2445,enjoy_the_moment
5063,bonding
2096,enjoy_the_moment
1437,enjoy_the_moment
82,leisure
3133,affection
12932,affection
443,achievement
208,bonding
1354,leisure
1713,achievement
837,affection
1742,enjoy_the_moment
31,enjoy_the_moment
1668,leisure
788,achievement
9725,achievement
11685,achievement
5239,bonding
10105,affection
143,affection
458,leisure
11,nature
1480,affection
1466,affection
2076,affection
991,achievement
237,achievement
834,achievement
11334,affection
13274,affection
3217,leisure
3840,affection
13124,affection
452,achievement
46,bonding
1473,bonding
8342,enjoy_the_moment
8152,affection
7259,affection
13307,affection
37,achievement
372,achievement
1507,bonding
2159,bonding
176,affection
11206,affection
11362,achievement
10100,achievement
139,affection
374,leisure
6479,bonding
252,achievement
873,bonding
1273,achievement
1551,affection
203,affection
10112,leisure
2151,achievement
1679,affection
2993,enjoy_the_moment
15,enjoy_the_moment
1104,affection
201,enjoy_the_moment
1424,leisure
9010,achievement
303,affection
1012,enjoy_the_moment
63,achievement
309,achievement
851,affection
7313,leisure
584,achievement
4814,enjoy_the_moment
225,enjoy_the_moment
4572,leisure
783,achievement
6602,affection
551,leisure
245,achievement
4130,leisure
211,leisure
189,achievement
2793,achievement
6879,achievement
12784,achievement
271,affection
213,achievement
340,achievement
6738,affection
114,achievement
742,achievement
34,affection
2645,achievement
7849,leisure
10294,leisure
8621,affection
126,affection
948,achievement
86,exercise
944,leisure
1790,enjoy_the_moment
10693,achievement
10515,achievement
1165,affection
2787,leisure
430,affection
1936,achievement
11035,affection
1330,bonding
1086,achievement
7354,affection
6209,achievement
13411,achievement
40,enjoy_the_moment
7909,enjoy_the_moment
54,affection
36,achievement
13095,achievement
264,achievement
1520,affection
128,leisure
6965,affection
6456,affection
287,achievement
3657,achievement
1574,achievement
9198,affection
98,affection
9095,achievement
2634,achievement
10,affection
1382,achievement
1027,bonding
1135,achievement
11817,affection
2935,nature
1054,affection
302,achievement
7282,achievement
6517,achievement
187,achievement
2751,leisure
10989,affection
8,bonding
2899,affection
3735,enjoy_the_moment
4262,leisure
10658,affection
13444,affection
489,achievement
159,leisure
104,affection
448,affection
6,affection
1074,achievement
11945,achievement
7799,achievement
2240,achievement
9578,affection
596,exercise
696,bonding
7979,leisure
11581,enjoy_the_moment
11673,affection
1426,affection
23,achievement
29,exercise
2036,affection
9236,affection
1965,achievement
13394,nature
10046,leisure
5393,achievement
658,affection
611,leisure
218,achievement
514,achievement
573,affection
711,enjoy_the_moment
4295,bonding
3622,affection
925,bonding
1174,achievement
11839,achievement
5738,achievement
608,affection
47,enjoy_the_moment
12422,leisure
11878,bonding
4534,enjoy_the_moment
11549,achievement
2953,achievement
12739,affection
166,nature
2073,affection
184,leisure
521,achievement
6620,leisure
1005,enjoy_the_moment
219,leisure
906,achievement
9353,nature
5536,enjoy_the_moment
325,exercise
1939,achievement
656,affection
595,achievement
982,achievement
2339,affection
60,bonding
6208,enjoy_the_moment
672,leisure
10839,affection
1625,affection
13497,affection
13628,bonding
319,achievement
626,affection
5767,enjoy_the_moment
908,affection
2319,achievement
90,leisure
699,affection
665,enjoy_the_moment
640,affection
288,achievement
5650,affection
1634,leisure
1444,affection
163,affection
6668,achievement
895,affection
9071,achievement
1968,achievement
5258,leisure
1867,affection
3505,affection
1934,enjoy_the_moment
115,achievement
3374,enjoy_the_moment
380,affection
10606,achievement
1981,achievement
10339,bonding
1397,achievement
5259,achievement
1128,achievement
152,nature
3276,bonding
227,enjoy_the_moment
772,achievement
4711,affection
12336,achievement
7668,bonding
1047,exercise
3312,bonding
2911,affection
250,leisure
2769,affection
10798,affection
2813,affection
779,achievement
1497,affection
8394,affection
11666,bonding
1866,enjoy_the_moment
33,affection
6076,achievement
2220,affection
2091,achievement
228,affection
3908,achievement
918,bonding
3995,enjoy_the_moment
10253,achievement
196,achievement
156,affection
786,achievement
52,achievement
6041,enjoy_the_moment
2286,affection
11180,achievement
2198,achievement
53,enjoy_the_moment
481,affection
74,affection
110,enjoy_the_moment
2539,achievement
10510,affection
25,exercise
1769,achievement
544,achievement
4633,achievement
283,affection
1720,affection
93,achievement
3034,achievement
1731,leisure
1872,achievement
3140,bonding
261,bonding
726,nature
11646,affection
85,affection
69,achievement
1794,affection
269,leisure
12292,bonding
70,enjoy_the_moment
132,enjoy_the_moment
24,bonding
76,bonding
643,affection
4781,bonding
2,affection
96,enjoy_the_moment
136,enjoy_the_moment
10584,enjoy_the_moment
10630,affection
4233,achievement
2128,affection
119,achievement
880,affection
844,affection
761,affection
842,achievement
9075,bonding
3419,enjoy_the_moment
61,affection
50,achievement
6732,leisure
215,achievement
2783,affection
1113,exercise
182,leisure
191,leisure
8221,affection
216,leisure
763,affection
376,bonding
222,affection
155,leisure
172,leisure
116,leisure
1187,leisure
192,leisure
864,enjoy_the_moment
164,exercise
6102,affection
2530,leisure
341,achievement
101,achievement
2512,enjoy_the_moment
5352,affection
221,affection
14,affection
1391,affection
4648,affection
527,affection
4684,affection
1547,leisure
5365,achievement
2328,achievement
13608,bonding
9625,affection
12,bonding
27,achievement
19,achievement
173,enjoy_the_moment
12077,achievement
10840,leisure
62,affection
13638,affection
962,achievement
641,achievement
78,enjoy_the_moment
1010,leisure
932,achievement
1985,affection
1,achievement
1351,achievement
2349,affection
259,leisure
654,achievement
45,achievement
3181,achievement
7692,affection
68,affection
2978,affection
981,achievement
1813,achievement
49,achievement
7,achievement
347,leisure
377,affection
653,enjoy_the_moment
591,achievement
421,achievement
3095,nature
553,leisure
51,achievement
475,achievement
926,leisure
559,affection
1671,nature
7758,achievement
1688,bonding
905,achievement
466,achievement
1543,affection
10789,leisure
464,affection
1306,enjoy_the_moment
255,achievement
1199,leisure
7816,achievement
1244,achievement
1057,enjoy_the_moment
4541,affection
418,affection
2029,affection
1094,achievement
6359,affection
632,achievement
5314,achievement
106,affection
1317,affection
5032,achievement
2326,enjoy_the_moment
2059,achievement
570,affection
41,affection
1453,enjoy_the_moment
2493,leisure
1768,achievement
183,achievement
7695,affection
81,leisure
349,affection
1215,bonding
542,enjoy_the_moment
301,achievement
2565,enjoy_the_moment
2392,affection
4397,enjoy_the_moment
4952,achievement
39,affection
3942,nature
2464,achievement
603,achievement
3580,enjoy_the_moment
2936,achievement
188,enjoy_the_moment
977,affection
5040,affection
13555,leisure
369,achievement
238,bonding
3260,affection
94,enjoy_the_moment
1037,achievement
1021,leisure
1493,achievement
990,bonding
5521,achievement
2164,enjoy_the_moment
646,enjoy_the_moment
959,achievement
6700,affection
472,affection
244,affection
97,affection
1121,achievement
902,achievement
1623,nature
4477,achievement
1177,affection
273,affection
878,exercise
1208,affection
2855,exercise
122,bonding
5640,affection
9412,bonding
150,achievement
3577,bonding
1503,achievement
518,affection
1445,affection
1098,bonding
422,achievement
4690,affection
2501,affection
1415,achievement
345,leisure
3249,achievement
2567,affection
13670,achievement
1033,enjoy_the_moment
574,achievement
3271,achievement
1502,enjoy_the_moment
6136,achievement
2474,affection
12021,enjoy_the_moment
2413,enjoy_the_moment
11216,affection
2238,achievement
599,achievement
3820,affection
10449,affection
2685,affection
628,leisure
1538,affection
12445,achievement
1117,affection
976,affection
2146,achievement
2576,achievement
9,leisure
6183,achievement
12949,leisure
4190,achievement
543,bonding
575,affection
4878,enjoy_the_moment
2950,leisure
1816,affection
318,affection
2741,leisure
2775,achievement
403,affection
1349,enjoy_the_moment
137,affection
598,achievement
2358,leisure
1405,leisure
5264,affection
9585,enjoy_the_moment
9695,affection
1229,enjoy_the_moment
1695,leisure
2069,affection
64,affection
298,affection
1172,affection
220,affection
130,affection
9681,achievement
3472,affection
100,leisure
177,enjoy_the_moment
3266,affection
181,bonding
3613,affection
2058,leisure
1313,affection
4979,nature
986,leisure
1093,achievement
7280,enjoy_the_moment
4158,leisure
147,nature
663,leisure
9074,affection
1088,bonding
102,affection
526,leisure
408,enjoy_the_moment
2065,achievement
3230,affection
419,bonding
58,exercise
13430,affection
404,affection
1404,achievement
3766,achievement
808,enjoy_the_moment
1060,nature
508,bonding
984,affection
12666,affection
10739,leisure
7846,affection
141,affection
2856,affection
10298,bonding
1649,affection
8330,nature
1363,achievement
10780,enjoy_the_moment
2134,enjoy_the_moment
3818,achievement
414,leisure
10078,affection
604,bonding
4596,enjoy_the_moment
1075,affection
2008,leisure
108,affection
217,achievement
77,leisure
1115,leisure
13103,affection
241,leisure
1492,enjoy_the_moment
2903,achievement
3938,achievement
6696,achievement
1632,affection
473,affection
892,affection
4588,achievement
5882,leisure
423,affection
231,affection
66,enjoy_the_moment
197,enjoy_the_moment
210,nature
1355,affection
230,nature
17,affection
8400,achievement
160,achievement
3348,achievement
99,affection
8078,achievement
22,achievement
121,achievement
415,enjoy_the_moment
239,leisure
5376,affection
1304,affection
3576,achievement
5436,bonding
30,affection
12633,achievement
853,achievement
2382,enjoy_the_moment
258,affection
185,enjoy_the_moment
92,bonding
5681,achievement
1760,affection
477,achievement
290,achievement
1775,enjoy_the_moment
12036,leisure
673,achievement
382,enjoy_the_moment
870,achievement
1996,enjoy_the_moment
1069,achievement
5567,leisure
9895,achievement
232,affection
1544,affection
625,enjoy_the_moment
3616,affection
8070,achievement
10544,enjoy_the_moment
3160,nature
778,affection
1656,leisure
1696,leisure
274,achievement
265,enjoy_the_moment
4679,leisure
379,achievement
13326,affection
13011,leisure
1285,affection
1870,affection
1390,leisure
5499,achievement
2227,affection
8886,affection
9076,achievement
1748,enjoy_the_moment
267,exercise
1611,affection
194,achievement
4081,achievement
3817,achievement
7067,affection
1359,affection
148,achievement
717,nature
865,affection
4029,leisure
88,enjoy_the_moment
390,bonding
190,nature
8228,affection
13111,bonding
276,achievement
91,affection
1484,affection
3048,enjoy_the_moment
5917,affection
8506,affection
12924,affection
2880,achievement
630,achievement
1141,bonding
428,affection
10883,affection
803,achievement
1452,affection
862,nature
2098,leisure
916,leisure
592,achievement
1223,achievement
1034,leisure
7450,achievement
83,achievement
11169,achievement
20,bonding
474,enjoy_the_moment
3663,affection
135,leisure
1109,affection
2508,affection
5315,achievement
4963,achievement
11386,achievement
174,affection
992,achievement
12618,affection
1019,nature
1091,enjoy_the_moment
4394,enjoy_the_moment
13636,achievement
1238,enjoy_the_moment
207,enjoy_the_moment
1003,affection
3030,enjoy_the_moment
387,achievement
336,affection
451,bonding
1409,leisure
492,affection
2012,achievement
5196,affection
2554,enjoy_the_moment
5458,leisure
2520,achievement
3101,leisure
3842,enjoy_the_moment
11676,achievement
2218,affection
10599,affection
4520,achievement
67,achievement
9317,leisure
296,leisure
437,enjoy_the_moment
